ID,UnderlyingValue,PrevId,MaxPain,PCR,maxpain_start,underlying_start,PCR_start,lowerrangevalue,upperrangevalue,rangespike,max,min,result1,result2
38302,19469.8,38301,19500,1,19500,19559.4,1.19,19300,19600,0,19603.7,19474.2,1,0
38303,19540.4,38302,19500,1.01,19500,19559.4,1.19,19400,19700,1,19603.7,19465.5,1,1
38304,19603.7,38303,19500,1.03,19500,19559.4,1.19,19400,19700,0,19516.5,19465.5,0,1
38305,19516.5,38304,19500,1.01,19500,19559.4,1.19,19400,19700,0,19497.2,19460.9,0,1
38306,19483.2,38305,19500,1.02,19500,19559.4,1.19,19300,19600,-1,19497.2,19460.9,0,0
38307,19474.2,38306,19500,1.03,19500,19559.4,1.19,19300,19600,0,19497.2,19460.9,0,0
38308,19497.2,38307,19500,1.04,19500,19559.4,1.19,19300,19600,0,19475.7,19460.9,0,0
38309,19465.5,38308,19500,1.03,19500,19559.4,1.19,19300,19600,0,19501.2,19460.9,0,0
38310,19475.7,38309,19500,1.03,19500,19559.4,1.19,19300,19600,0,19506.6,19460.9,0,0
38311,19460.9,38310,19500,1.03,19500,19559.4,1.19,19300,19600,0,19506.6,19470.9,0,0
38312,19474.6,38311,19500,1.03,19500,19559.4,1.19,19300,19600,0,19525.9,19470.9,1,0
38313,19470.9,38312,19500,1.03,19500,19559.4,1.19,19300,19600,0,19534.9,19472.1,1,0
